,title,release_year,locations,locations_formatted,formatted_address,lat,long
643,"Budding Prospects, Pilot",2017,2937 24th Street,"2937 24th Street, San Francisco, CA","2937 24th St, San Francisco, CA 94110, USA",37.75254,-122.4108485
644,Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,"Hooker Alley Garden on Mason and Bush and Pine, San Francisco, CA","Hooker Alley Community Garden, San Francisco, CA 94108, USA",37.7904366,-122.4102362
645,Etruscan Smile,2017,"Legion of Honor, 100 34th Ave","Legion of Honor, 100 34th Ave, San Francisco, CA","100 34th Ave, San Francisco, CA 94121, USA",37.7844661,-122.5008419
646,GirlBoss,2017,"Underground SF, 424 Haight St.","Underground SF, 424 Haight St., San Francisco, CA","424 Haight St, San Francisco, CA 94117, USA",37.7724664,-122.4293949
647,Birth of the Dragon,2016,Lands End Trail at Eagles Point/ Lincoln Park Golf Course,"Lands End Trail at Eagles Point and  Lincoln Park Golf Course, San Francisco, CA","916 El Camino Del Mar, San Francisco, CA 94121, USA",37.7867005,-122.4948301
648,Etruscan Smile,2017,3rd Street between Market & Harrison,"3rd Street and Market and Harrison, San Francisco, CA","3rd St & Harrison St, San Francisco, CA 94107, USA",37.7825651,-122.3974118
649,"Looking ""Special""",2016,1246 Folsom Street,"1246 Folsom Street, San Francisco, CA","1246 Folsom St, San Francisco, CA 94103, USA",37.7745943,-122.41099
650,GirlBoss,2017,"Mission Thrift, 2330 Mission St.","Mission Thrift, 2330 Mission St., San Francisco, CA","2330 Mission St, San Francisco, CA 94110, USA",37.759752,-122.4193958
651,Etruscan Smile,2017,1227 Montgomery Street,"1227 Montgomery Street, San Francisco, CA","1227 Montgomery St, San Francisco, CA 94133, USA",37.8004708,-122.4045297
652,Pushing Dead,2016,"433 Baker Street, ","433 Baker Street, , San Francisco, CA","433 Baker St, San Francisco, CA 94117, USA",37.7750391,-122.4415039
653,Birth of the Dragon,2016,Leavenworth at Green,"Leavenworth at Green, San Francisco, CA","Green St & Leavenworth St, San Francisco, CA 94109, USA",37.7985017,-122.4172437
654,Etruscan Smile,2017,San Francisco Airport,"San Francisco Airport, San Francisco, CA","San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554
655,GirlBoss,2017,Fillmore and Waller,"Fillmore and Waller, San Francisco, CA","Fillmore St & Waller St, San Francisco, CA 94117, USA",37.7711891,-122.4302841
656,"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue","Li Po Lounge, 916 Grant Avenue, San Francisco, CA","916 Grant Ave, San Francisco, CA 94108, USA",37.7954841,-122.4063742
657,"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street","Capital Restaurant, 839 Clay Street, San Francisco, CA","839 Clay St, San Francisco, CA 94108, USA",37.7940788,-122.4071024
658,Pushing Dead,2016,"Ele Nino Traiing Cetner, 2920 3rd Street","Ele Nino Traiing Cetner, 2920 3rd Street, San Francisco, CA","2920 3rd St, San Francisco, CA 94107, USA",37.75208,-122.388246
659,When We Rise,2017,520 Castro St.,"520 Castro St., San Francisco, CA","520 Castro St, San Francisco, CA 94114, USA",37.7604765,-122.4351507
660,"Budding Prospects, Pilot",2017,Bernal Heights Boulevard,"Bernal Heights Boulevard, San Francisco, CA","Bernal Heights Blvd, San Francisco, CA 94110, USA",37.7422489,-122.4126018
661,Pushing Dead,2016,2930 3rd Street,"2930 3rd Street, San Francisco, CA","2930 3rd St, San Francisco, CA 94107, USA",37.7519723,-122.3879709
662,Etruscan Smile,2017,Turk Street between Mason & Leavenworth,"Turk Street and Mason and Leavenworth, San Francisco, CA","Turk St & Leavenworth St, San Francisco, CA 94102, USA",37.7827942,-122.4140666
663,Pushing Dead,2016,Octavia at Grove Street,"Octavia at Grove Street, San Francisco, CA","Octavia St & Grove St, San Francisco, CA 94102, USA",37.777618,-122.4248359
664,"Budding Prospects, Pilot",2017,3050 24th Street,"3050 24th Street, San Francisco, CA","3050 24th St, San Francisco, CA 94110, USA",37.7527903,-122.4132496
665,"Looking ""Special""",2016,"The End Up, 401 6th Streeet","The End Up, 401 6th Streeet, San Francisco, CA","401 6th St, San Francisco, CA 94103, USA",37.7772833,-122.403778
666,"Looking ""Special""",2016,Bernal Heights Neighborhood,"Bernal Heights Neighborhood, San Francisco, CA","Bernal Heights, San Francisco, CA, USA",37.7411622,-122.4178378
667,GirlBoss,2017,"Boulevard Restaurant, 1 Mission St.","Boulevard Restaurant, 1 Mission St., San Francisco, CA","1 Mission St, San Francisco, CA 94105, USA",37.79332,-122.392761
668,Etruscan Smile,2017,Treasure Island,"Treasure Island, San Francisco, CA","Treasure Island, San Francisco, CA, USA",37.8235515,-122.370648
669,Birth of the Dragon,2016,Grant between Bush and Broadway,"Grant and Bush , San Francisco, CA","Bush St & Grant Ave, San Francisco, CA 94108, USA",37.7905703,-122.4055726
670,Etruscan Smile,2017,San Francisco City Hall,"San Francisco City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
671,"Budding Prospects, Pilot",2017,500 Cortland Avenue,"500 Cortland Avenue, San Francisco, CA","500 Cortland Ave, San Francisco, CA 94110, USA",37.7388503,-122.4161319
672,When We Rise,2017,426 Castro St.,"426 Castro St., San Francisco, CA","426 Castro St, San Francisco, CA 94114, USA",37.7620409,-122.4354446
673,When We Rise,2017,"Women's Building, 3543 18th St.","Women's Building, 3543 18th St., San Francisco, CA","3543 18th St #8, San Francisco, CA 94110, USA",37.7615596,-122.4226539
674,When We Rise,2017,"Eureka Arts Center, 4400 20th St.","Eureka Arts Center, 4400 20th St., San Francisco, CA","4400 20th St, San Francisco, CA 94114, USA",37.7576924,-122.4370414
675,Etruscan Smile,2017,225 California Street,"225 California Street, San Francisco, CA","225 California St, San Francisco, CA 94111, USA",37.7930616,-122.3992574
676,GirlBoss,2017,Taylor and Union,"Taylor and Union, San Francisco, CA","Union St & Taylor St, San Francisco, CA 94133, USA",37.7998334,-122.4141412
677,When We Rise,2017,Powell St. at Market St.,"Powell St. at Market St., San Francisco, CA","Powell St & San Francisco Bicycle Rte 50, San Francisco, CA 94102, USA",37.7845959,-122.4073408
678,Birth of the Dragon,2016,Leavenworth at Union,"Leavenworth at Union, San Francisco, CA","Union St & Leavenworth St, San Francisco, CA 94109, USA",37.7994171,-122.4174331
679,GirlBoss,2017,"Mission Dolores Park, 19th St. & Dolores St.","Mission Dolores Park, 19th St. and Dolores St., San Francisco, CA","Dolores St & 19th St, San Francisco, CA 94110, USA",37.7598327,-122.4258739
680,GirlBoss,2017,Grant between California and Washington,"Grant and California , San Francisco, CA","California St & Grant Ave, San Francisco, CA 94108, USA",37.7924638,-122.405954
681,Pushing Dead,2016,"Double Happiness Health, 3380 20th Street","Double Happiness Health, 3380 20th Street, San Francisco, CA","3380 20th St #102, San Francisco, CA 94110, USA",37.7589773,-122.4167034
682,When We Rise,2017,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
683,Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street","Bentley Reserve, 301 Battery Street, San Francisco, CA","301 Battery St, San Francisco, CA 94111, USA",37.7943448,-122.4006632
684,"Budding Prospects, Pilot",2017,Lucky Street,"Lucky Street, San Francisco, CA","Lucky St, San Francisco, CA 94110, USA",37.7509423,-122.4133835
685,"Looking ""Special""",2016,Fisherman's Wharf,"Fisherman's Wharf, San Francisco, CA","Fisherman's Wharf, San Francisco, CA, USA",37.8079996,-122.4177434
686,Pushing Dead,2016,"915 Naples, San Francisco","915 Naples, San Francisco, San Francisco, CA","915 Naples St, San Francisco, CA 94112, USA",37.715034,-122.435255
687,"Looking ""Special""",2016,1080 Natoma Street,"1080 Natoma Street, San Francisco, CA","1080 Natoma St, San Francisco, CA 94103, USA",37.7726957,-122.4171274
688,Etruscan Smile,2017,"Marriott Marquis, 780 Mission Street","Marriott Marquis, 780 Mission Street, San Francisco, CA","780 Mission St, San Francisco, CA 94103, USA",37.7852279,-122.404389
689,Etruscan Smile,2017,Mason Street @ Vallejo ,"Mason Street at Vallejo , San Francisco, CA","Vallejo St & Mason St, San Francisco, CA 94133, USA",37.7981761,-122.412118
690,Bar Rescue,2016,Fort 1,"Fort 1, San Francisco, CA","2801 Leavenworth St, San Francisco, CA 94133, USA",37.80731,-122.4194816
691,Etruscan Smile,2017,Pier 39 San Francisco,"Pier 39 San Francisco, San Francisco, CA","Beach St & The Embarcadero, San Francisco, CA 94133, USA",37.808673,-122.409821
692,When We Rise,2017,Haight St. at Central,"Haight St. at Central, San Francisco, CA","Haight St & Central Ave, San Francisco, CA 94117, USA",37.7704404,-122.4436739
693,Pushing Dead,2016,"Uva Enoteca, 568 Haight Street","Uva Enoteca, 568 Haight Street, San Francisco, CA","568 Haight St, San Francisco, CA 94117, USA",37.7720558,-122.4316081
694,GirlBoss,2017,"The Castro Theater, 429 Castro St.","The Castro Theater, 429 Castro St., San Francisco, CA","429 Castro St, San Francisco, CA 94114, USA",37.7620333,-122.4347591
695,Birth of the Dragon,2016,California at Grant,"California at Grant, San Francisco, CA","California St & Grant Ave, San Francisco, CA 94108, USA",37.7924638,-122.405954
696,Pushing Dead,2016,Turk Street between Steiner and Scott Streets,"Turk Street and Steiner , San Francisco, CA","Turk St & Steiner St, San Francisco, CA 94115, USA",37.7802937,-122.4338191
697,GirlBoss,2017,Filbert and Kearny Steps,"Filbert and Kearny Steps, San Francisco, CA","Kearny St & Filbert St, San Francisco, CA 94133, USA",37.801771,-122.4062606
698,"Looking ""Special""",2016,"Encore Karaoke, 1550 California Street","Encore Karaoke, 1550 California Street, San Francisco, CA","1550 California St # 2, San Francisco, CA 94109, USA",37.7907946,-122.4200466
699,Pushing Dead,2016,Church Street MUNI Station,"Church Street MUNI Station, San Francisco, CA","San Francisco, CA 94114, USA",37.7678731,-122.4285766
700,When We Rise,2017,"Harvey Milk Plaza, 17th and Castro","Harvey Milk Plaza, 17th and Castro, San Francisco, CA","Castro St, San Francisco, CA 94114, USA",37.7623906,-122.4353401
701,GirlBoss,2017,Clarion Alley between Valencia and Mission,"Clarion Alley and Valencia , San Francisco, CA","Valencia St & Clarion Alley, San Francisco, CA 94110, USA",37.7629245,-122.4217189
702,Etruscan Smile,2017,"Andronico's, 1200 Irving Street","Andronico's, 1200 Irving Street, San Francisco, CA","1200 Irving St, San Francisco, CA 94122, USA",37.7641093,-122.4712353
703,Etruscan Smile,2017,Castle Street @ Green Street,"Castle Street at Green Street, San Francisco, CA","Green St & Castle St, San Francisco, CA 94133, USA",37.8000109,-122.4050755
704,"Looking ""Special""",2016,"Philz Coffee, 1258 Minnesota Street","Philz Coffee, 1258 Minnesota Street, San Francisco, CA","1258 Minnesota St, San Francisco, CA 94107, USA",37.7543341,-122.3900774
705,Pushing Dead,2016,5th Ave @ Fulton Street in Golden Gate Park,"5th Ave at Fulton Street in Golden Gate Park, San Francisco, CA","Fulton St & 5th Ave, San Francisco, CA 94118, USA",37.7737373,-122.4627045
706,GirlBoss,2017,"Clayton Post Office, 554 Clayton St.","Clayton Post Office, 554 Clayton St., San Francisco, CA","554 Clayton St, San Francisco, CA 94117, USA",37.7700395,-122.4484058
707,"Looking ""Special""",2016,3079 16th Street,"3079 16th Street, San Francisco, CA","3079 16th St, San Francisco, CA 94103, USA",37.7646893,-122.4212802
708,When We Rise,2017,"Twin Peaks Bar, 401 Castro","Twin Peaks Bar, 401 Castro, San Francisco, CA","401 Castro St, San Francisco, CA 94114, USA",37.7624034,-122.4349646
709,GirlBoss,2017,"La Taqueria, 2889 Mission St.","La Taqueria, 2889 Mission St., San Francisco, CA","2889 Mission St, San Francisco, CA 94110, USA",37.7508961,-122.4180867
710,"Budding Prospects, Pilot",2017,951 Hudson Avenue,"951 Hudson Avenue, San Francisco, CA","951 Hudson Ave, San Francisco, CA 94124, USA",37.7331614,-122.376629
711,Pushing Dead,2016,Hayes Street between Ashbury and Shrader,"Hayes Street and Ashbury , San Francisco, CA","Hayes St & Ashbury St, San Francisco, CA 94117, USA",37.773755,-122.4477129
712,"Looking ""Special""",2016,17th & Market Street,"17th and Market Street, San Francisco, CA","17th St & San Francisco Bicycle Rte 50, San Francisco, CA 94114, USA",37.762738,-122.4352084
713,When We Rise,2017,"Castro Theatre, 429 Castro St.","Castro Theatre, 429 Castro St., San Francisco, CA","429 Castro St, San Francisco, CA 94114, USA",37.7620333,-122.4347591
714,"Looking ""Special""",2016,Grant Avenue between Sacramento and Washington,"Grant Avenue and Sacramento , San Francisco, CA","Grant Ave & <U+5510><U+4EBA><U+8857> San Francisco, CA 94108, USA",37.7933932,-122.4061423
715,Pushing Dead,2016,"Matching Half Cafe, 1799 McAllister Street","Matching Half Cafe, 1799 McAllister Street, San Francisco, CA","1799 McAllister St, San Francisco, CA 94115, USA",37.7772762,-122.4414404
716,GirlBoss,2017,Filbert between Leavenworth and Hyde,"Filbert and Leavenworth , San Francisco, CA","Filbert St & Leavenworth St, San Francisco, CA 94109, USA",37.8003487,-122.4176339
717,Etruscan Smile,2017,Chaya / Perry's 132 Embarcadero,"Chaya  and  Perry's 132 Embarcadero, San Francisco, CA","132 The Embarcadero, San Francisco, CA 94105, USA",37.7930864,-122.392181
718,GirlBoss,2017,Fillmore between Haight and Waller,"Fillmore and Haight , San Francisco, CA","Fillmore St & Haight St, San Francisco, CA 94117, USA",37.7721227,-122.430479
719,Nine Months,1995,Star's Cafe (55 Golden Gate Avenue at Van Ness),"55 Golden Gate Avenue at Van Ness, San Francisco, CA","55 Golden Gate Ave, San Francisco, CA 94102, USA",37.7821176,-122.4112732
720,Superman,1978,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
721,Time After Time,1979,One Embarcadero Center (Financial District),"One Embarcadero Center, San Francisco, CA","One Embarcadero Center, 1 Embarcadero Center, San Francisco, CA 94111, USA",37.7946507,-122.3998262
722,Bullitt,1968,Cesar Chavez & Mission Street (Mission),"Cesar Chavez and Mission Street, San Francisco, CA","Cesar Chavez St & Mission St, San Francisco, CA 94110, USA",37.7482293,-122.4182139
723,The Game,1997,Mason & California Streets (Nob Hill),"Mason and California Streets, San Francisco, CA","California St & Mason St, San Francisco, CA 94108, USA",37.7918421,-122.4108428
724,The Game,1997,Sheraton Palace Hotel (639 Market Street),"639 Market Street, San Francisco, CA","639 Market St, San Francisco, CA 94104, USA",37.7887507,-122.4020904
725,Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),"856 Market Street and Powell , San Francisco, CA","Powell St & San Francisco Bicycle Rte 50, San Francisco, CA 94102, USA",37.7845959,-122.4073408
726,Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),"Castagnola's Restaurant, San Francisco, CA","286 Jefferson St, San Francisco, CA 94133, USA",37.8081971,-122.417549
727,Edtv,1999,20th & Connecticut Streets (Potrero Hill),"20th and Connecticut Streets, San Francisco, CA","20th St & Connecticut St, San Francisco, CA 94107, USA",37.7599753,-122.3972755
728,Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),"901 Powell Street at Sacramento, San Francisco, CA","901 Powell St, San Francisco, CA 94108, USA",37.7930817,-122.4097098
729,The Caine Mutiny,1954,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
730,Interview With The Vampire,1994,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
731,Pal Joey,1957,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
732,Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)","1231 Market Street, Civic Center, San Francisco, CA","1231 Market St, San Francisco, CA 94102, USA",37.7783173,-122.4152932
733,The Net,1995,Moscone Convention Center,"Moscone Convention Center, San Francisco, CA","747 Howard St, San Francisco, CA 94103, USA",37.7831029,-122.4040588
734,Cherish,2002,387 Fair Oaks at 25th Street,"387 Fair Oaks at 25th Street, San Francisco, CA","387 Fair Oaks St, San Francisco, CA 94110, USA",37.750608,-122.423581
735,Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),"United Nations Plaza, San Francisco, CA","United Nations Plaza, San Francisco, CA 94102, USA",37.7799923,-122.4137276
736,D.O.A,1950,Union Square,"Union Square, San Francisco, CA","Union Square, 333 Post St, San Francisco, CA 94108, USA",37.7880008,-122.4074095
737,Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)","500 Guerrero Street, Mission District, San Francisco, CA","500 Guerrero St, San Francisco, CA 94110, USA",37.7630322,-122.4242109
738,The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),"2701 Sloat Blvd., San Francisco, CA","2701 Sloat Blvd, San Francisco, CA 94132, USA",37.7354068,-122.5052916
739,Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),"Stockton Tunnel, San Francisco, CA","Stockton St Tunnel, San Francisco, CA 94108, USA",37.7915624,-122.4074199
740,The Right Stuff,1983,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
741,The Enforcer,1976,Balmy Street (Mission District),"Balmy Street, San Francisco, CA","Balmy St, San Francisco, CA 94110, USA",37.7518112,-122.4124134
742,Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)","Postcard Row, San Francisco, CA","Steiner St, San Francisco, CA 94117, USA",37.7762593,-122.432758
743,Alcatraz,2012,Filbert St. from Jones to Mason,"Filbert St. from Jones to Mason, San Francisco, CA","721 Filbert St, San Francisco, CA 94133, USA",37.8009441,-122.4116674
744,The Dead Pool,1988,San Francisco Drydock (The Dogpatch),"San Francisco Drydock, San Francisco, CA","2118 Greenwich St, San Francisco, CA 94123, USA",37.7992214,-122.4353696
745,Jagged Edge,1985,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
746,Innerspace,1987,Telegraph Hill,"Telegraph Hill, San Francisco, CA","Telegraph Hill, San Francisco, CA, USA",37.8013407,-122.4056674
747,Dirty Harry,1971,Forest Hill Station- MUNI,"Forest Hill Station- MUNI, San Francisco, CA","San Francisco, CA 94116, USA",37.7480295,-122.4591606
748,Sudden Impact,1983,The Embarcadero/Ferry Building,"The Embarcadero and Ferry Building, San Francisco, CA","San Francisco Ferry Bldg, One Ferry Building, San Francisco, CA 94111, USA",37.7955703,-122.3933208
749,Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),"1000 Mason Street, San Francisco, CA","1000 Mason St, San Francisco, CA 94108, USA",37.7930742,-122.4107104
750,Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)","1001 Potrero Avenue, Potrero Hill, San Francisco, CA","1001 Potrero Ave, San Francisco, CA 94110, USA",37.7558047,-122.4044432
751,Bullitt,1968,1153-57 Taylor Street,"1153-57 Taylor Street, San Francisco, CA","57 Taylor St, San Francisco, CA 94102, USA",37.7829257,-122.4109508
752,Foul Play,1978,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),"199 Mississippi Street, San Francisco, CA","199 Mississippi St, San Francisco, CA 94107, USA",37.7641206,-122.3945251
753,Magnum Force,1973,18th Street Overpass (Potrero Hill),"18th Street Overpass, San Francisco, CA","18th St, San Francisco, CA, USA",37.7620395,-122.4161099
754,The Dead Pool,1988,Hall of Justice (850 Bryant Street),"850 Bryant Street, San Francisco, CA","850 Bryant St, San Francisco, CA 94103, USA",37.7753904,-122.404191
755,Junior,1994,722 Steiner Street,"722 Steiner Street, San Francisco, CA","722 Steiner St, San Francisco, CA 94117, USA",37.7764711,-122.4327849
756,Freebie and the Bean,1974,Nob Hill,"Nob Hill, San Francisco, CA","Nob Hill, San Francisco, CA, USA",37.793014,-122.416113
757,The Dead Pool,1988,McAllister & Scott Streets (Hayes Valley),"McAllister and Scott Streets, San Francisco, CA","McAllister St & San Francisco Bicycle Rte 47, San Francisco, CA 94115, USA",37.7780094,-122.4367039
758,Maxie,1985,Grace Cathedral Episcopal Church (1100 California Street),"1100 California Street, San Francisco, CA","Grace Cathedral, 1100 California St, San Francisco, CA 94108, USA",37.7918593,-122.4133739
759,Patty Hearst,1988,Bank of America (38th Street at Balboa Street),"38th Street at Balboa Street, San Francisco, CA","Balboa St & 38th Ave, San Francisco, CA 94121, USA",37.7756848,-122.4984015
760,Star Trek IV: The Voyage Home,1986,Golden Gate Park,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, CA, USA",37.7694208,-122.4862138
761,Magnum Force,1973,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
762,Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
763,Sphere,1998,S.S. Jeremiah O'Brien,"S.S. Jeremiah O'Brien, San Francisco, CA","Pier 45, Fisherman's Wharf, San Francisco, CA 94133, USA",37.8110638,-122.4181442
764,The Dead Pool,1988,One Thousand Powell Apartments (1000 Powell Street),"1000 Powell Street, San Francisco, CA","1000 Powell St, San Francisco, CA 94108, USA",37.7940532,-122.4093518
765,Fearless,1993,5th and Beale Streets,"5th and Beale Streets, San Francisco, CA","101 California St # 5, San Francisco, CA 94111, USA",37.7927653,-122.3979675
766,A View to a Kill,1985,Port of San Francisco ,"Port of San Francisco , San Francisco, CA","Pier 1 The Embarcadero, San Francisco, CA 94111, USA",37.7968374,-122.3950767
767,Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","666 Filbert Street, Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
768,Sudden Impact,1983,Civic Center Plaza,"Civic Center Plaza, San Francisco, CA","94105, 335 McAllister St, San Francisco, CA 94102, United States",37.7795107,-122.4176677
769,The Birds,1963,Powell and Geary Streets (Union Square),"Powell and Geary Streets, San Francisco, CA","Geary St & Powell St, San Francisco, CA 94102, USA",37.7873819,-122.4082412
770,Fearless,1993,Bank of America Building (555 California Street),"555 California Street, San Francisco, CA","555 California St, San Francisco, CA 94104, USA",37.7920602,-122.403706
771,Magnum Force,1973,Hall of Justice (850 Bryant Street),"850 Bryant Street, San Francisco, CA","850 Bryant St, San Francisco, CA 94103, USA",37.7753904,-122.404191
772,Time After Time,1979,California Academy of Sciences (Golden Gate Park),"California Academy of Sciences, San Francisco, CA","55 Music Concourse Dr, San Francisco, CA 94118, USA",37.7698646,-122.4660947
773,It Came From Beneath the Sea,1955,Chrissy Field,"Chrissy Field, San Francisco, CA","Crissy Field Ave, San Francisco, CA 94129, USA",37.8036739,-122.4684295
774,Nine Months,1995,Belli Building (722 Montgomery Street at Washington),"722 Montgomery Street at Washington, San Francisco, CA","722 Montgomery St, San Francisco, CA 94111, USA",37.7961146,-122.4031229
775,The Presidio,1988,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
776,Time After Time,1979,Intersection of California & Grant Streets (Richmond District),"Intersection of California and Grant Streets, San Francisco, CA","California St & Grant Ave, San Francisco, CA 94108, USA",37.7924638,-122.405954
777,Petulia,1968,Cala Foods (California Street and Hyde),"Cala Foods, San Francisco, CA","1095 Hyde St, San Francisco, CA 94109, USA",37.7907129,-122.4177829
778,Woman on the Run,1950,819 Mason Street at Pine,"819 Mason Street at Pine, San Francisco, CA","819 Mason St, San Francisco, CA 94108, USA",37.791162,-122.41091
779,Vertigo,1958,900 Lombard Street,"900 Lombard Street, San Francisco, CA","900 Lombard St, San Francisco, CA 94133, USA",37.8025519,-122.4165769
780,Edtv,1999,North Beach Video (1398 Grant Avenue at Green),"1398 Grant Avenue at Green, San Francisco, CA","1398 Grant Ave, San Francisco, CA 94133, USA",37.799601,-122.4072141
781,Magnum Force,1973,2190 Washington Street (Pacific Heights),"2190 Washington Street, San Francisco, CA","2190 Washington St, San Francisco, CA 94109, USA",37.792541,-122.429151
782,The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)","384 Post Street, Union Square, San Francisco, CA","384 Post St, San Francisco, CA 94108, USA",37.7886334,-122.4080958
783,Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)","Postcard Row, San Francisco, CA","Steiner St, San Francisco, CA 94117, USA",37.7762593,-122.432758
784,Milk,2008,Duboce Park,"Duboce Park, San Francisco, CA","Duboce Park, San Francisco, CA, USA",37.769551,-122.433214
785,Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)","1 California Street, Financial District, San Francisco, CA","1 California St, San Francisco, CA 94111, USA",37.7935651,-122.3966254
786,Golden Gate,1994,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
787,Groove,2000,435 23rd Street at Illinois,"435 23rd Street at Illinois, San Francisco, CA","435 23rd St, San Francisco, CA 94110, USA",37.7552106,-122.3844199
788,Groove,2000,435 23rd Street at Illinois,"435 23rd Street at Illinois, San Francisco, CA","435 23rd St, San Francisco, CA 94110, USA",37.7552106,-122.3844199
789,Groove,2000,435 23rd Street at Illinois,"435 23rd Street at Illinois, San Francisco, CA","435 23rd St, San Francisco, CA 94110, USA",37.7552106,-122.3844199
790,Star Trek IV: The Voyage Home,1986,"West Harbor, Marina District","West Harbor, Marina District, San Francisco, CA","Scott St, San Francisco, CA 94123, USA",37.805995,-122.442434
791,Mrs. Doubtfire,1993,516 Green Street,"516 Green Street, San Francisco, CA","516 Green St, San Francisco, CA 94133, USA",37.7998378,-122.4078056
792,The Dead Pool,1988,Portsmouth Square (Chinatown),"Portsmouth Square, San Francisco, CA","733 Kearny St, San Francisco, CA 94108, USA",37.7948051,-122.4051364
793,Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),"Laguna and Sacramento Streets, San Francisco, CA","Sacramento St & Laguna St, San Francisco, CA 94115, USA",37.7904717,-122.4291211
794,Innerspace,1987,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)","1 Nob Hill Circle, Nob Hill, San Francisco, CA","1 Nob Hill Pl, San Francisco, CA 94108, USA",37.7911185,-122.4101504
795,Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),"600 32nd Avenue , San Francisco, CA","600 32nd Ave, San Francisco, CA 94121, USA",37.7777914,-122.4917623
796,Bullitt,1968,John Muir Drive (Lake Merced),"John Muir Drive, San Francisco, CA","John Muir Dr, San Francisco, CA 94132, USA",37.7145125,-122.4921456
797,Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),"Andrew S. Hallidie Plaza, San Francisco, CA","1 Hallidie Plaza #701, San Francisco, CA 94102, USA",37.7841435,-122.4087877
798,Joy Luck Club,1993,Hang Ah Alley (Chinatown),"Hang Ah Alley, San Francisco, CA","1 Pagoda Pl, San Francisco, CA 94108, USA",37.793377,-122.4074816
799,Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,"520-522A Green Street at Grant Street, San Francisco, CA","Green St & Grant Ave, San Francisco, CA 94133, USA",37.7997122,-122.4074155
800,A Smile Like Yours ,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),"Hills Brothers Plaza, San Francisco, CA","345 Spear St, San Francisco, CA 94105, USA",37.7899545,-122.389913
